2,10406,"Selina Jörg, Lukas Straumann","ethanol",201012201415,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/min]","FlussWaage[ml/min]"
1001,0,1,10,21.816,22.445,23.075,0.359,0.284
1002,0,1,20,21.835,22.44,23.065,0.59,0.577
1003,0,1,30,21.847,22.466,23.124,0.797,0.734
1004,0,1,40,21.814,22.437,23.251,1.124,0.987
1005,0,1,45,21.867,22.5,23.161,1.261,1.099
1006,0,1,47.5,21.839,22.466,23.11,1.251,1.104
1007,0,1,50,21.859,22.507,23.129,1.277,1.119
1008,0,1,52.5,21.821,22.499,23.103,1.325,1.18
1009,0,1,55,21.816,22.504,23.113,1.332,1.185
1010,0,1,60,21.777,22.551,23.153,1.346,1.17
