2,10407,"Selina Jörg, Lukas Straumann","water",201012221545,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/sec]","FlussWaage[ml/sec]"
1001,0,1,10,22.013,23.251,23.846,2.514,1.372
1002,0,1,20,22.118,23.332,23.926,6.516,1.44
1003,0,1,30,22.079,23.267,23.66,8.442,2.388
1004,0,1,40,22.158,23.34,24.122,5.04,3.176
1005,0,1,45,22.08,23.268,24.1,7.237,3.588
1006,0,1,47.5,22.105,23.296,24.055,9.535,3.82
1007,0,1,50,22.094,23.282,24.119,11.052,3.964
1008,0,1,52.5,22.114,23.294,24.117,11.267,4.1
1009,0,1,55,22.103,23.279,23.98,10.274,4.176
1010,0,1,60,22.161,23.322,24.127,9.205,4.044
